Top,H/F EM,NB f EM,Prop F EM,H/F LFI,NB f LFI,Prop F LFI,H/F LR,NB f LR,Prop F LR,H/F FN,NB f FN,Prop F FN,H/F PS,NB f PS,Prop F PS
191,F,98.0,0.5130890052356021,H,91,0.47643979057591623,H,47.0,0.24607329842931938,H,83.0,0.43455497382198954,H,91.0,0.47643979057591623
192,F,99.0,0.515625,H,91,0.4739583333333333,H,47.0,0.24479166666666666,F,84.0,0.4375,F,92.0,0.4791666666666667
193,F,100.0,0.5181347150259067,H,91,0.47150259067357514,H,47.0,0.24352331606217617,H,84.0,0.43523316062176165,H,92.0,0.47668393782383417
194,H,100.0,0.5154639175257731,H,91,0.4690721649484536,H,47.0,0.2422680412371134,F,85.0,0.4381443298969072,H,92.0,0.4742268041237113
195,H,100.0,0.5128205128205128,H,91,0.4666666666666667,F,48.0,0.24615384615384617,H,85.0,0.4358974358974359,H,92.0,0.4717948717948718
196,H,100.0,0.5102040816326531,F,92,0.46938775510204084,H,48.0,0.24489795918367346,H,85.0,0.4336734693877551,F,93.0,0.4744897959183674
197,H,100.0,0.5076142131979695,F,93,0.4720812182741117,F,49.0,0.24873096446700507,H,85.0,0.43147208121827413,H,93.0,0.4720812182741117
198,F,101.0,0.51010101010101,H,93,0.4696969696969697,H,49.0,0.2474747474747475,H,85.0,0.4292929292929293,H,93.0,0.4696969696969697
199,H,101.0,0.507537688442211,F,94,0.4723618090452261,F,50.0,0.25125628140703515,H,85.0,0.4271356783919598,H,93.0,0.46733668341708545
200,H,101.0,0.505,F,95,0.475,F,51.0,0.255,F,86.0,0.43,F,94.0,0.47
201,F,102.0,0.5074626865671642,H,95,0.472636815920398,H,51.0,0.2537313432835821,H,86.0,0.42786069651741293,H,94.0,0.46766169154228854
202,H,102.0,0.504950495049505,F,96,0.4752475247524752,H,51.0,0.2524752475247525,F,87.0,0.4306930693069307,H,94.0,0.46534653465346537
203,F,103.0,0.5073891625615764,F,97,0.47783251231527096,F,52.0,0.2561576354679803,H,87.0,0.42857142857142855,F,95.0,0.46798029556650245
204,F,104.0,0.5098039215686274,H,97,0.47549019607843135,H,52.0,0.2549019607843137,F,88.0,0.43137254901960786,F,96.0,0.47058823529411764
205,F,105.0,0.5121951219512195,H,97,0.47317073170731705,H,52.0,0.25365853658536586,H,88.0,0.4292682926829268,H,96.0,0.4682926829268293
206,F,106.0,0.5145631067961165,F,98,0.47572815533980584,F,53.0,0.25728155339805825,F,89.0,0.4320388349514563,F,97.0,0.470873786407767
207,H,106.0,0.5120772946859904,F,99,0.4782608695652174,H,53.0,0.2560386473429952,F,90.0,0.43478260869565216,H,97.0,0.46859903381642515
208,H,106.0,0.5096153846153846,H,99,0.47596153846153844,F,54.0,0.25961538461538464,F,91.0,0.4375,F,98.0,0.47115384615384615
209,H,106.0,0.507177033492823,F,100,0.4784688995215311,H,54.0,0.2583732057416268,H,91.0,0.4354066985645933,F,99.0,0.47368421052631576
210,F,107.0,0.5095238095238095,H,100,0.47619047619047616,H,54.0,0.2571428571428571,F,92.0,0.4380952380952381,F,100.0,0.47619047619047616
211,F,108.0,0.5118483412322274,H,100,0.47393364928909953,F,55.0,0.26066350710900477,H,92.0,0.43601895734597157,F,101.0,0.4786729857819905
212,F,109.0,0.5141509433962265,F,101,0.47641509433962265,F,56.0,0.2641509433962264,F,93.0,0.4386792452830189,F,102.0,0.4811320754716981
213,H,109.0,0.5117370892018779,F,102,0.4788732394366197,F,57.0,0.2676056338028169,H,93.0,0.43661971830985913,H,102.0,0.4788732394366197
214,F,110.0,0.514018691588785,F,103,0.48130841121495327,H,57.0,0.26635514018691586,F,94.0,0.4392523364485981,F,103.0,0.48130841121495327
215,H,110.0,0.5116279069767442,F,104,0.48372093023255813,F,58.0,0.26976744186046514,H,94.0,0.4372093023255814,F,104.0,0.48372093023255813
216,H,110.0,0.5092592592592593,H,104,0.48148148148148145,H,58.0,0.26851851851851855,H,94.0,0.4351851851851852,F,105.0,0.4861111111111111
217,H,110.0,0.5069124423963134,F,105,0.4838709677419355,H,58.0,0.2672811059907834,F,95.0,0.4377880184331797,F,106.0,0.48847926267281105
218,F,111.0,0.5091743119266054,F,106,0.48623853211009177,H,58.0,0.26605504587155965,H,95.0,0.43577981651376146,F,107.0,0.4908256880733945
219,F,112.0,0.5114155251141552,H,106,0.4840182648401826,H,58.0,0.2648401826484018,F,96.0,0.4383561643835616,H,107.0,0.4885844748858447
220,F,113.0,0.5136363636363637,F,107,0.4863636363636364,F,59.0,0.2681818181818182,H,96.0,0.43636363636363634,H,107.0,0.4863636363636364
221,F,114.0,0.5158371040723982,H,107,0.4841628959276018,F,60.0,0.27149321266968324,H,96.0,0.4343891402714932,F,108.0,0.48868778280542985
222,H,114.0,0.5135135135135135,H,107,0.481981981981982,H,60.0,0.2702702702702703,H,96.0,0.43243243243243246,H,108.0,0.4864864864864865
223,F,115.0,0.515695067264574,H,107,0.4798206278026906,H,60.0,0.26905829596412556,H,96.0,0.4304932735426009,F,109.0,0.48878923766816146
224,F,116.0,0.5178571428571429,F,108,0.48214285714285715,H,60.0,0.26785714285714285,H,96.0,0.42857142857142855,H,109.0,0.48660714285714285
225,F,117.0,0.52,H,108,0.48,H,60.0,0.26666666666666666,H,96.0,0.4266666666666667,F,110.0,0.4888888888888889
226,F,118.0,0.5221238938053098,F,109,0.4823008849557522,H,60.0,0.26548672566371684,F,97.0,0.42920353982300885,F,111.0,0.4911504424778761
227,F,119.0,0.5242290748898678,H,109,0.4801762114537445,H,60.0,0.2643171806167401,F,98.0,0.43171806167400884,H,111.0,0.4889867841409692
228,H,119.0,0.5219298245614035,H,109,0.4780701754385965,H,60.0,0.2631578947368421,F,99.0,0.4342105263157895,F,112.0,0.49122807017543857
229,H,119.0,0.519650655021834,F,110,0.48034934497816595,H,60.0,0.26200873362445415,H,99.0,0.43231441048034935,H,112.0,0.4890829694323144
230,F,120.0,0.5217391304347826,H,110,0.4782608695652174,H,60.0,0.2608695652173913,F,100.0,0.43478260869565216,F,113.0,0.49130434782608695
231,H,120.0,0.5194805194805194,F,111,0.4805194805194805,F,61.0,0.26406926406926406,H,100.0,0.4329004329004329,F,114.0,0.4935064935064935
232,F,121.0,0.521551724137931,H,111,0.47844827586206895,H,61.0,0.2629310344827586,H,100.0,0.43103448275862066,H,114.0,0.49137931034482757
233,H,121.0,0.51931330472103,F,112,0.48068669527896996,F,62.0,0.26609442060085836,F,101.0,0.4334763948497854,H,114.0,0.4892703862660944
234,F,122.0,0.5213675213675214,F,113,0.4829059829059829,H,62.0,0.26495726495726496,F,102.0,0.4358974358974359,F,115.0,0.49145299145299143
235,H,122.0,0.5191489361702127,H,113,0.4808510638297872,H,62.0,0.26382978723404255,H,102.0,0.4340425531914894,H,115.0,0.48936170212765956
236,H,122.0,0.5169491525423728,F,114,0.4830508474576271,H,62.0,0.2627118644067797,H,102.0,0.4322033898305085,H,115.0,0.4872881355932203
237,H,122.0,0.5147679324894515,H,114,0.4810126582278481,H,62.0,0.2616033755274262,H,102.0,0.43037974683544306,F,116.0,0.48945147679324896
238,H,122.0,0.5126050420168067,F,115,0.4831932773109244,H,62.0,0.2605042016806723,H,102.0,0.42857142857142855,F,117.0,0.49159663865546216
239,H,122.0,0.5104602510460251,F,116,0.48535564853556484,H,62.0,0.2594142259414226,H,102.0,0.42677824267782427,H,117.0,0.4895397489539749
240,F,123.0,0.5125,H,116,0.48333333333333334,F,63.0,0.2625,F,103.0,0.42916666666666664,F,118.0,0.49166666666666664
241,F,124.0,0.5145228215767634,H,116,0.48132780082987553,H,63.0,0.26141078838174275,H,103.0,0.42738589211618255,F,119.0,0.49377593360995853
242,F,125.0,0.5165289256198347,F,117,0.4834710743801653,F,64.0,0.2644628099173554,H,103.0,0.4256198347107438,F,120.0,0.49586776859504134
243,F,126.0,0.5185185185185185,H,117,0.48148148148148145,H,64.0,0.26337448559670784,H,103.0,0.42386831275720166,F,121.0,0.49794238683127573
244,H,126.0,0.5163934426229508,,117,0.47950819672131145,H,64.0,0.26229508196721313,F,104.0,0.4262295081967213,H,121.0,0.4959016393442623
245,H,126.0,0.5142857142857142,F,118,0.4816326530612245,H,64.0,0.2612244897959184,H,104.0,0.42448979591836733,H,121.0,0.49387755102040815
246,F,127.0,0.516260162601626,H,118,0.4796747967479675,H,64.0,0.2601626016260163,H,104.0,0.42276422764227645,H,121.0,0.491869918699187
247,H,127.0,0.5141700404858299,H,118,0.4777327935222672,F,65.0,0.2631578947368421,F,105.0,0.4251012145748988,F,122.0,0.4939271255060729
248,H,127.0,0.5120967741935484,F,119,0.4798387096774194,H,65.0,0.2620967741935484,H,105.0,0.42338709677419356,H,122.0,0.49193548387096775
249,H,127.0,0.5100401606425703,F,120,0.4819277108433735,H,65.0,0.26104417670682734,H,105.0,0.42168674698795183,H,122.0,0.4899598393574297
250,F,128.0,0.512,H,120,0.48,H,65.0,0.26,F,106.0,0.424,H,122.0,0.488
251,F,129.0,0.5139442231075697,F,121,0.4820717131474104,F,66.0,0.26294820717131473,F,107.0,0.4262948207171315,F,123.0,0.4900398406374502
252,H,129.0,0.5119047619047619,F,122,0.48412698412698413,F,67.0,0.26587301587301587,H,107.0,0.4246031746031746,H,123.0,0.4880952380952381
253,H,129.0,0.5098814229249012,H,122,0.48221343873517786,H,67.0,0.2648221343873518,F,108.0,0.4268774703557312,H,123.0,0.48616600790513836
254,H,129.0,0.5078740157480315,F,123,0.484251968503937,F,68.0,0.2677165354330709,F,109.0,0.42913385826771655,H,123.0,0.484251968503937
255,H,129.0,0.5058823529411764,F,124,0.48627450980392156,H,68.0,0.26666666666666666,F,110.0,0.43137254901960786,F,124.0,0.48627450980392156
256,H,129.0,0.50390625,H,124,0.484375,H,68.0,0.265625,F,111.0,0.43359375,F,125.0,0.48828125
257,F,130.0,0.5058365758754864,F,125,0.48638132295719844,H,68.0,0.26459143968871596,F,112.0,0.4357976653696498,F,126.0,0.490272373540856
258,H,130.0,0.5038759689922481,H,125,0.4844961240310077,H,68.0,0.26356589147286824,F,113.0,0.437984496124031,F,127.0,0.49224806201550386
259,F,131.0,0.5057915057915058,H,125,0.4826254826254826,F,69.0,0.26640926640926643,F,114.0,0.44015444015444016,F,128.0,0.4942084942084942
260,F,132.0,0.5076923076923077,H,125,0.4807692307692308,F,70.0,0.2692307692307692,F,115.0,0.4423076923076923,F,129.0,0.49615384615384617
261,H,132.0,0.5057471264367817,H,125,0.4789272030651341,H,70.0,0.2681992337164751,F,116.0,0.4444444444444444,H,129.0,0.4942528735632184
262,F,133.0,0.5076335877862596,H,125,0.4770992366412214,H,70.0,0.26717557251908397,F,117.0,0.44656488549618323,F,130.0,0.4961832061068702
263,H,133.0,0.5057034220532319,F,126,0.4790874524714829,H,70.0,0.2661596958174905,H,117.0,0.4448669201520912,F,131.0,0.49809885931558934
264,F,134.0,0.5075757575757576,F,127,0.4810606060606061,F,71.0,0.2689393939393939,F,118.0,0.44696969696969696,F,132.0,0.5
265,H,134.0,0.5056603773584906,F,128,0.4830188679245283,H,71.0,0.2679245283018868,F,119.0,0.4490566037735849,F,133.0,0.5018867924528302
266,H,134.0,0.5037593984962406,F,129,0.4849624060150376,F,72.0,0.2706766917293233,F,120.0,0.45112781954887216,F,134.0,0.5037593984962406
267,F,135.0,0.5056179775280899,F,130,0.4868913857677903,H,72.0,0.2696629213483146,F,121.0,0.45318352059925093,H,134.0,0.50187265917603
268,H,135.0,0.503731343283582,H,130,0.48507462686567165,H,72.0,0.26865671641791045,H,121.0,0.45149253731343286,H,134.0,0.5
269,H,135.0,0.5018587360594795,F,131,0.48698884758364314,F,73.0,0.27137546468401486,F,122.0,0.45353159851301117,F,135.0,0.5018587360594795
270,H,135.0,0.5,H,131,0.48518518518518516,F,74.0,0.2740740740740741,H,122.0,0.45185185185185184,H,135.0,0.5
271,F,136.0,0.5018450184501845,H,131,0.4833948339483395,F,75.0,0.2767527675276753,F,123.0,0.45387453874538747,H,135.0,0.4981549815498155
272,F,137.0,0.5036764705882353,H,131,0.48161764705882354,H,75.0,0.2757352941176471,H,123.0,0.4522058823529412,H,135.0,0.4963235294117647
273,H,137.0,0.5018315018315018,H,131,0.47985347985347987,F,76.0,0.2783882783882784,F,124.0,0.4542124542124542,H,135.0,0.4945054945054945
274,F,138.0,0.5036496350364964,H,131,0.4781021897810219,H,76.0,0.2773722627737226,H,124.0,0.45255474452554745,F,136.0,0.49635036496350365
275,H,138.0,0.5018181818181818,F,132,0.48,H,76.0,0.27636363636363637,H,124.0,0.4509090909090909,H,136.0,0.49454545454545457
276,H,138.0,0.5,H,132,0.4782608695652174,H,76.0,0.2753623188405797,H,124.0,0.4492753623188406,F,137.0,0.4963768115942029
277,H,138.0,0.4981949458483754,H,132,0.47653429602888087,H,76.0,0.2743682310469314,H,124.0,0.44765342960288806,F,138.0,0.4981949458483754
278,H,138.0,0.49640287769784175,F,133,0.4784172661870504,H,76.0,0.2733812949640288,F,125.0,0.44964028776978415,H,138.0,0.49640287769784175
279,F,139.0,0.4982078853046595,F,134,0.48028673835125446,H,76.0,0.2724014336917563,H,125.0,0.44802867383512546,F,139.0,0.4982078853046595
280,F,140.0,0.5,F,135,0.48214285714285715,H,76.0,0.2714285714285714,F,126.0,0.45,F,140.0,0.5
281,H,140.0,0.498220640569395,H,135,0.4804270462633452,F,77.0,0.27402135231316727,F,127.0,0.45195729537366547,H,140.0,0.498220640569395
282,H,140.0,0.49645390070921985,F,136,0.48226950354609927,H,77.0,0.2730496453900709,H,127.0,0.450354609929078,F,141.0,0.5
283,H,140.0,0.49469964664310956,F,137,0.4840989399293286,H,77.0,0.27208480565371024,H,127.0,0.44876325088339225,F,142.0,0.5017667844522968
284,H,140.0,0.49295774647887325,F,138,0.4859154929577465,H,77.0,0.2711267605633803,H,127.0,0.4471830985915493,F,143.0,0.5035211267605634
285,H,140.0,0.49122807017543857,H,138,0.4842105263157895,H,77.0,0.27017543859649124,F,128.0,0.44912280701754387,H,143.0,0.5017543859649123
286,H,140.0,0.48951048951048953,H,138,0.4825174825174825,H,77.0,0.2692307692307692,H,128.0,0.44755244755244755,F,144.0,0.5034965034965035
287,F,141.0,0.4912891986062718,F,139,0.4843205574912892,F,78.0,0.27177700348432055,F,129.0,0.44947735191637633,F,145.0,0.5052264808362369
288,F,142.0,0.4930555555555556,H,139,0.4826388888888889,F,79.0,0.2743055555555556,F,130.0,0.4513888888888889,H,145.0,0.5034722222222222
289,H,142.0,0.4913494809688581,H,139,0.4809688581314879,F,80.0,0.2768166089965398,F,131.0,0.4532871972318339,H,145.0,0.5017301038062284
290,H,142.0,0.4896551724137931,H,139,0.4793103448275862,H,80.0,0.27586206896551724,F,132.0,0.45517241379310347,F,146.0,0.503448275862069
291,F,143.0,0.49140893470790376,F,140,0.48109965635738833,H,80.0,0.27491408934707906,F,133.0,0.4570446735395189,H,146.0,0.5017182130584192
292,H,143.0,0.4897260273972603,H,140,0.4794520547945205,H,80.0,0.273972602739726,F,134.0,0.4589041095890411,F,147.0,0.5034246575342466
293,H,143.0,0.4880546075085324,F,141,0.4812286689419795,F,81.0,0.2764505119453925,F,135.0,0.46075085324232085,F,148.0,0.5051194539249146
294,F,144.0,0.4897959183673469,F,142,0.48299319727891155,F,82.0,0.2789115646258503,F,136.0,0.46258503401360546,H,148.0,0.5034013605442177
295,F,145.0,0.4915254237288136,F,143,0.4847457627118644,H,82.0,0.27796610169491526,H,136.0,0.4610169491525424,F,149.0,0.5050847457627119
296,F,146.0,0.49324324324324326,H,143,0.4831081081081081,H,82.0,0.27702702702702703,H,136.0,0.4594594594594595,H,149.0,0.5033783783783784
297,F,147.0,0.494949494949495,F,144,0.48484848484848486,H,82.0,0.2760942760942761,F,137.0,0.4612794612794613,H,149.0,0.5016835016835017
298,H,147.0,0.49328859060402686,F,145,0.4865771812080537,H,82.0,0.2751677852348993,H,137.0,0.4597315436241611,H,149.0,0.5
299,H,147.0,0.4916387959866221,H,145,0.48494983277591974,F,83.0,0.27759197324414714,F,138.0,0.46153846153846156,H,149.0,0.4983277591973244
300,F,148.0,0.49333333333333335,,145,0.48333333333333334,H,83.0,0.27666666666666667,F,139.0,0.4633333333333333,H,149.0,0.49666666666666665
301,H,148.0,0.49169435215946844,H,145,0.48172757475083056,H,83.0,0.2757475083056478,H,139.0,0.46179401993355484,H,149.0,0.4950166112956811
302,F,149.0,0.49337748344370863,H,145,0.48013245033112584,F,84.0,0.2781456953642384,H,139.0,0.4602649006622517,F,150.0,0.4966887417218543
303,F,150.0,0.49504950495049505,H,145,0.47854785478547857,H,84.0,0.27722772277227725,H,139.0,0.45874587458745875,H,150.0,0.49504950495049505
304,H,150.0,0.4934210526315789,H,145,0.4769736842105263,H,84.0,0.27631578947368424,H,139.0,0.45723684210526316,H,150.0,0.4934210526315789
305,H,150.0,0.4918032786885246,H,145,0.47540983606557374,H,84.0,0.2754098360655738,F,140.0,0.45901639344262296,F,151.0,0.49508196721311476
306,F,151.0,0.4934640522875817,F,146,0.477124183006536,H,84.0,0.27450980392156865,F,141.0,0.46078431372549017,F,152.0,0.49673202614379086
307,F,152.0,0.495114006514658,F,147,0.4788273615635179,H,84.0,0.2736156351791531,H,141.0,0.4592833876221498,H,152.0,0.495114006514658
308,F,153.0,0.4967532467532468,F,148,0.4805194805194805,H,84.0,0.2727272727272727,H,141.0,0.4577922077922078,F,153.0,0.4967532467532468
309,H,153.0,0.49514563106796117,F,149,0.48220064724919093,H,84.0,0.27184466019417475,F,142.0,0.459546925566343,H,153.0,0.49514563106796117
310,F,154.0,0.4967741935483871,F,150,0.4838709677419355,F,85.0,0.27419354838709675,F,143.0,0.4612903225806452,H,153.0,0.4935483870967742
311,H,154.0,0.49517684887459806,H,150,0.48231511254019294,F,86.0,0.2765273311897106,H,143.0,0.45980707395498394,H,153.0,0.4919614147909968
312,H,154.0,0.4935897435897436,F,151,0.483974358974359,H,86.0,0.27564102564102566,F,144.0,0.46153846153846156,H,153.0,0.49038461538461536
313,H,154.0,0.49201277955271566,H,151,0.48242811501597443,F,87.0,0.2779552715654952,H,144.0,0.46006389776357826,F,154.0,0.49201277955271566
314,F,155.0,0.49363057324840764,F,152,0.4840764331210191,H,87.0,0.2770700636942675,H,144.0,0.4585987261146497,H,154.0,0.49044585987261147
315,H,155.0,0.49206349206349204,H,152,0.48253968253968255,H,87.0,0.2761904761904762,F,145.0,0.4603174603174603,F,155.0,0.49206349206349204
316,H,155.0,0.49050632911392406,F,153,0.48417721518987344,F,88.0,0.27848101265822783,H,145.0,0.4588607594936709,H,155.0,0.49050632911392406
317,H,155.0,0.4889589905362776,H,153,0.48264984227129337,F,89.0,0.2807570977917981,F,146.0,0.4605678233438486,F,156.0,0.4921135646687697
318,F,156.0,0.49056603773584906,F,154,0.48427672955974843,H,89.0,0.279874213836478,F,147.0,0.46226415094339623,H,156.0,0.49056603773584906
319,F,157.0,0.49216300940438873,H,154,0.4827586206896552,H,89.0,0.27899686520376177,F,148.0,0.46394984326018807,F,157.0,0.49216300940438873
320,F,158.0,0.49375,F,155,0.484375,F,90.0,0.28125,H,148.0,0.4625,H,157.0,0.490625
321,H,158.0,0.49221183800623053,F,156,0.48598130841121495,H,90.0,0.2803738317757009,H,148.0,0.46105919003115264,F,158.0,0.49221183800623053
322,F,159.0,0.4937888198757764,H,156,0.484472049689441,H,90.0,0.2795031055900621,H,148.0,0.45962732919254656,F,159.0,0.4937888198757764
323,F,160.0,0.4953560371517028,H,156,0.48297213622291024,H,90.0,0.2786377708978328,F,149.0,0.4613003095975232,F,160.0,0.4953560371517028
324,H,160.0,0.49382716049382713,F,157,0.4845679012345679,F,91.0,0.2808641975308642,F,150.0,0.46296296296296297,H,160.0,0.49382716049382713
325,H,160.0,0.49230769230769234,H,157,0.48307692307692307,F,92.0,0.28307692307692306,H,150.0,0.46153846153846156,F,161.0,0.49538461538461537
326,F,161.0,0.4938650306748466,H,157,0.4815950920245399,F,93.0,0.2852760736196319,H,150.0,0.4601226993865031,F,162.0,0.49693251533742333
327,F,162.0,0.4954128440366973,H,157,0.4801223241590214,H,93.0,0.28440366972477066,H,150.0,0.45871559633027525,H,162.0,0.4954128440366973
328,F,163.0,0.4969512195121951,H,157,0.47865853658536583,H,93.0,0.28353658536585363,H,150.0,0.4573170731707317,F,163.0,0.4969512195121951
329,F,164.0,0.49848024316109424,H,157,0.47720364741641336,H,93.0,0.2826747720364742,H,150.0,0.45592705167173253,H,163.0,0.49544072948328266
330,H,164.0,0.49696969696969695,F,158,0.47878787878787876,H,93.0,0.2818181818181818,F,151.0,0.4575757575757576,H,163.0,0.49393939393939396
331,F,165.0,0.4984894259818731,H,158,0.4773413897280967,F,94.0,0.283987915407855,F,152.0,0.459214501510574,F,164.0,0.4954682779456193
332,F,166.0,0.5,F,159,0.4789156626506024,F,95.0,0.286144578313253,H,152.0,0.4578313253012048,F,165.0,0.49698795180722893
333,H,166.0,0.4984984984984985,F,160,0.4804804804804805,F,96.0,0.2882882882882883,F,153.0,0.4594594594594595,F,166.0,0.4984984984984985
334,H,166.0,0.49700598802395207,F,161,0.4820359281437126,H,96.0,0.2874251497005988,F,154.0,0.46107784431137727,H,166.0,0.49700598802395207
335,F,167.0,0.49850746268656715,F,162,0.4835820895522388,H,96.0,0.2865671641791045,H,154.0,0.4597014925373134,H,166.0,0.4955223880597015
336,F,168.0,0.5,F,163,0.4851190476190476,F,97.0,0.28869047619047616,H,154.0,0.4583333333333333,F,167.0,0.49702380952380953
337,H,168.0,0.49851632047477745,H,163,0.4836795252225519,F,98.0,0.29080118694362017,H,154.0,0.456973293768546,F,168.0,0.49851632047477745
338,F,169.0,0.5,F,164,0.48520710059171596,F,99.0,0.29289940828402367,H,154.0,0.4556213017751479,F,169.0,0.5
339,H,169.0,0.49852507374631266,F,165,0.48672566371681414,H,99.0,0.2920353982300885,F,155.0,0.45722713864306785,H,169.0,0.49852507374631266
340,H,169.0,0.4970588235294118,H,165,0.4852941176470588,H,99.0,0.2911764705882353,F,156.0,0.4588235294117647,H,169.0,0.4970588235294118
341,F,170.0,0.49853372434017595,H,165,0.4838709677419355,F,100.0,0.2932551319648094,F,157.0,0.4604105571847507,H,169.0,0.49560117302052786
342,F,171.0,0.5,H,165,0.4824561403508772,H,100.0,0.29239766081871343,H,157.0,0.4590643274853801,H,169.0,0.49415204678362573
343,H,171.0,0.49854227405247814,H,165,0.48104956268221577,H,100.0,0.2915451895043732,F,158.0,0.4606413994169096,F,170.0,0.4956268221574344
344,H,171.0,0.49709302325581395,F,166,0.48255813953488375,F,101.0,0.2936046511627907,F,159.0,0.4622093023255814,H,170.0,0.4941860465116279
345,F,172.0,0.4985507246376812,H,166,0.4811594202898551,F,102.0,0.2956521739130435,F,160.0,0.463768115942029,H,170.0,0.4927536231884058
346,H,172.0,0.49710982658959535,H,166,0.4797687861271676,F,103.0,0.2976878612716763,F,161.0,0.4653179190751445,F,171.0,0.49421965317919075
347,H,172.0,0.4956772334293948,H,166,0.4783861671469741,F,104.0,0.29971181556195964,F,162.0,0.4668587896253602,H,171.0,0.49279538904899134
348,H,172.0,0.4942528735632184,F,167,0.47988505747126436,F,105.0,0.3017241379310345,H,162.0,0.46551724137931033,H,171.0,0.49137931034482757
349,F,173.0,0.49570200573065903,F,168,0.4813753581661891,F,106.0,0.3037249283667622,F,163.0,0.4670487106017192,H,171.0,0.4899713467048711
350,H,173.0,0.4942857142857143,H,168,0.48,H,106.0,0.3028571428571429,H,163.0,0.4657142857142857,H,171.0,0.48857142857142855
351,F,174.0,0.49572649572649574,F,169,0.48148148148148145,H,106.0,0.301994301994302,F,164.0,0.4672364672364672,F,172.0,0.49002849002849
352,F,175.0,0.4971590909090909,F,170,0.48295454545454547,H,106.0,0.30113636363636365,F,165.0,0.46875,F,173.0,0.4914772727272727
353,H,175.0,0.49575070821529743,F,171,0.48441926345609065,H,106.0,0.3002832861189802,H,165.0,0.46742209631728043,H,173.0,0.49008498583569404
354,H,175.0,0.4943502824858757,F,172,0.4858757062146893,H,106.0,0.2994350282485876,F,166.0,0.4689265536723164,H,173.0,0.4887005649717514
355,F,176.0,0.49577464788732395,H,172,0.48450704225352115,H,106.0,0.29859154929577464,H,166.0,0.4676056338028169,H,173.0,0.48732394366197185
356,F,177.0,0.49719101123595505,F,173,0.4859550561797753,H,106.0,0.29775280898876405,F,167.0,0.4691011235955056,F,174.0,0.4887640449438202
357,H,177.0,0.4957983193277311,H,173,0.484593837535014,H,106.0,0.2969187675070028,F,168.0,0.47058823529411764,H,174.0,0.48739495798319327
358,H,177.0,0.49441340782122906,H,173,0.48324022346368717,H,106.0,0.29608938547486036,F,169.0,0.4720670391061452,H,174.0,0.4860335195530726
359,H,177.0,0.49303621169916434,H,173,0.4818941504178273,H,106.0,0.29526462395543174,H,169.0,0.47075208913649025,F,175.0,0.48746518105849584
360,F,178.0,0.49444444444444446,H,173,0.48055555555555557,F,107.0,0.2972222222222222,H,169.0,0.46944444444444444,H,175.0,0.4861111111111111
361,F,179.0,0.49584487534626037,F,174,0.481994459833795,H,107.0,0.296398891966759,F,170.0,0.4709141274238227,H,175.0,0.48476454293628807
362,H,179.0,0.494475138121547,H,174,0.48066298342541436,F,108.0,0.2983425414364641,F,171.0,0.4723756906077348,H,175.0,0.48342541436464087
363,H,179.0,0.4931129476584022,H,174,0.4793388429752066,F,109.0,0.3002754820936639,F,172.0,0.4738292011019284,F,176.0,0.48484848484848486
364,H,179.0,0.49175824175824173,F,175,0.4807692307692308,F,110.0,0.3021978021978022,H,172.0,0.4725274725274725,H,176.0,0.4835164835164835
365,F,180.0,0.4931506849315068,H,175,0.4794520547945205,H,110.0,0.3013698630136986,H,172.0,0.4712328767123288,F,177.0,0.4849315068493151
366,F,181.0,0.49453551912568305,H,175,0.4781420765027322,H,110.0,0.3005464480874317,H,172.0,0.46994535519125685,F,178.0,0.48633879781420764
367,H,181.0,0.49318801089918257,H,175,0.4768392370572207,H,110.0,0.2997275204359673,F,173.0,0.4713896457765668,F,179.0,0.4877384196185286
368,F,182.0,0.4945652173913043,F,176,0.4782608695652174,H,110.0,0.29891304347826086,F,174.0,0.47282608695652173,F,180.0,0.4891304347826087
369,H,182.0,0.4932249322493225,H,176,0.47696476964769646,H,110.0,0.2981029810298103,H,174.0,0.4715447154471545,H,180.0,0.4878048780487805
370,F,183.0,0.4945945945945946,H,176,0.4756756756756757,H,110.0,0.2972972972972973,F,175.0,0.47297297297297297,F,181.0,0.4891891891891892
371,H,183.0,0.49326145552560646,F,177,0.477088948787062,F,111.0,0.2991913746630728,H,175.0,0.4716981132075472,F,182.0,0.49056603773584906
372,F,184.0,0.4946236559139785,H,177,0.47580645161290325,F,112.0,0.3010752688172043,F,176.0,0.4731182795698925,F,183.0,0.49193548387096775
373,F,185.0,0.4959785522788204,F,178,0.4772117962466488,H,112.0,0.3002680965147453,F,177.0,0.4745308310991957,H,183.0,0.4906166219839142
374,F,186.0,0.49732620320855614,H,178,0.47593582887700536,F,113.0,0.30213903743315507,F,178.0,0.47593582887700536,F,184.0,0.4919786096256685
375,F,187.0,0.49866666666666665,F,179,0.47733333333333333,F,114.0,0.304,H,178.0,0.4746666666666667,H,184.0,0.49066666666666664
376,F,188.0,0.5,H,179,0.47606382978723405,F,115.0,0.3058510638297872,F,179.0,0.47606382978723405,H,184.0,0.48936170212765956
377,F,189.0,0.5013262599469496,F,180,0.47745358090185674,F,116.0,0.3076923076923077,H,179.0,0.47480106100795755,F,185.0,0.4907161803713528
378,H,189.0,0.5,F,181,0.47883597883597884,H,116.0,0.30687830687830686,H,179.0,0.47354497354497355,F,186.0,0.49206349206349204
